id	name	class
!!a	a	MagicKnight	No
burningjavelineb	Burning Javelin	Monster	B
catapult	Catapult	Monster	No
catapulta	Catapult	Monster	A
catapultb	Catapult	Monster	B
chainlightningeasy	Chain Lightning	Monster	No
chainlightningm	Chain Lightning	Monster	No
chainlightningma	Chain Lightning	Monster	A
chainlightningmb	Chain Lightning	Monster	B
chargedclaws	Charged Claws	Monster	No
chargedclawsa	Charged Claws	Monster	A
chargedclawsb	Charged Claws	Monster	B
clobber	Clobber	Monster	No
clobbera	Clobber	Monster	A
clobberb	Clobber	Monster	B
corruptedknife	Corrupted Knife	Monster	No
corruptedknifea	Corrupted Knife	Monster	A
corruptedknifeb	Corrupted Knife	Monster	B
crazylook	Crazy Look	Monster	No
crazylooka	Crazy Look	Monster	A
crazylookb	Crazy Look	Monster	B
dash	Dash	Monster	No
dasha	Dash	Monster	A
dashb	Dash	Monster	B
dauntless	Dauntless	Monster	No
dauntlessa	Dauntless	Monster	A
dauntlessb	Dauntless	Monster	B
demonicflame	Demonic Flame	Monster	No
demonicflamea	Demonic Flame	Monster	A
demonicflameb	Demonic Flame	Monster	B
doubleslash	Double Slash	Monster	No
doubleslasha	Double Slash	Monster	A
doubleslashb	Double Slash	Monster	B
doubletrouble	Double Trouble	Monster	No
doubletroublea	Double Trouble	Monster	A
doubletroubleb	Double Trouble	Monster	B
doubletroubleplus	Double Trouble	Monster	No
doubletroubleplusa	Double Trouble	Monster	A
earthquake	Earthquake	Monster	No
earthquakea	Earthquake	Monster	A
earthquakeb	Earthquake	Monster	B
earthquakeeasy	Earthquake	Monster	No
endurepain	Endure Pain	Monster	No
endurepaina	Endure Pain	Monster	A
endurepainb	Endure Pain	Monster	B
explosivegift	Explosive Gift	Monster	No
explosivegifta	Explosive Gift	Monster	A
explosivegiftb	Explosive Gift	Monster	B
fantheflames	Fan the Flames	Monster	No
fantheflamesa	Fan the Flames	Monster	A
fantheflamesb	Fan the Flames	Monster	B
fantheflamesm	Fan the Flames	Monster	No
fieryblow	Fiery Blow	Monster	No
fieryblowa	Fiery Blow	Monster	A
fieryblowb	Fiery Blow	Monster	B
fierycoat	Fiery Coat	Monster	No
fierycoata	Fiery Coat	Monster	A
fierycoatb	Fiery Coat	Monster	B
fieryfist	Fiery Fist	Monster	No
fieryfista	Fiery Fist	Monster	A
fieryfistb	Fiery Fist	Monster	B
fieryshieldm	Fiery Shield	Monster	No
fieryshieldma	Fiery Shield	Monster	A
fieryshieldmb	Fiery Shield	Monster	B
fieryweaponsm	Fiery Weapons	Monster	No
fireballm	Fireball	Monster	No
fireballma	Fireball	Monster	A
fireballmb	Fireball	Monster	B
fireballmeasy	Fireball	Monster	No
firebolt	Fire Bolt	Monster	No
firebolta	Fire Bolt	Monster	A
fireboltb	Fire Bolt	Monster	B
fireinthehole	Fire in the Hole!	Monster	No
fireintheholea	Fire in the Hole!	Monster	A
fireintheholeb	Fire in the Hole!	Monster	B
fireslash	Fire Slash	Monster	No
fireslasha	Fire Slash	Monster	A
fireslashb	Fire Slash	Monster	B
flyhigh	Fly High	Monster	No
flyhigha	Fly High	Monster	A
flyhighb	Fly High	Monster	B
flyhighplus	Fly High	Monster	No
frostharpoon	Frost Harpoon	Monster	No
frostharpoona	Frost Harpoon	Monster	A
frostharpoonb	Frost Harpoon	Monster	B
furiousslashm	Furious Slash	Monster	No
furiousslashma	Furious Slash	Monster	A
furiousslashmb	Furious Slash	Monster	B
groundslamm	Ground Slam	Monster	No
groundslamma	Ground Slam	Monster	A
groundslammb	Ground Slam	Monster	B
gutripper	Gut Ripper	Monster	No
gutrippera	Gut Ripper	Monster	A
gutripperb	Gut Ripper	Monster	B
hardening	Hardening	Monster	No
hardeninga	Hardening	Monster	A
hardeningb	Hardening	Monster	B
headbuttm	Headbutt	Monster	No
headbuttma	Headbutt	Monster	A
headbuttmb	Headbutt	Monster	B
heatassimilation	Heat Assimilation	Monster	No
heatassimilationa	Heat Assimilation	Monster	A
heatassimilationb	Heat Assimilation	Monster	B
heatlaserm	Heat Laser	Monster	No
heatlaserma	Heat Laser	Monster	A
heatlasermb	Heat Laser	Monster	B
heattransfer	Heat Transfer	Monster	No
heattransfera	Heat Transfer	Monster	A
heattransferb	Heat Transfer	Monster	B
heatwavem	Heat Wave	Monster	No
heatwavema	Heat Wave	Monster	A
heatwavemb	Heat Wave	Monster	B
hellmark	Hell Mark	Monster	No
hellmarka	Hell Mark	Monster	A
hellmarkb	Hell Mark	Monster	B
helpme	Help Me!	Monster	No
helpmea	Help Me!	Monster	A
helpmeb	Help Me!	Monster	B
helpmeeasy	Help Me!	Monster	No
icecometm	Ice Comet	Monster	No
icecometma	Ice Comet	Monster	A
icecometmb	Ice Comet	Monster	B
icytornado	Icy Tornado	Monster	No
icytornadoa	Icy Tornado	Monster	A
icytornadob	Icy Tornado	Monster	B
icytornadoeasy	Icy Tornado	Monster	No
indomitable	Indomitable	Monster	No
indomitablea	Indomitable	Monster	A
indomitableb	Indomitable	Monster	B
infuriatem	Infuriate	Monster	No
infuriatema	Infuriate	Monster	A
infuriatemb	Infuriate	Monster	B
landslide	Landslide	Monster	No
landslidea	Landslide	Monster	A
landslideb	Landslide	Monster	B
landslideeasy	Landslide	Monster	No
lavaeruption	Lava Eruption	Monster	No
lavaeruptiona	Lava Eruption	Monster	A
lavaeruptionb	Lava Eruption	Monster	B
lavaspray	Lava Spray	Monster	No
lavaspraya	Lava Spray	Monster	A
lavasprayb	Lava Spray	Monster	B
lightningboltm	Lightning Bolt	Monster	No
lightningboltma	Lightning Bolt	Monster	A
lightningboltmb	Lightning Bolt	Monster	B
livingbomb	Living Bomb	Monster	No
livingbomba	Living Bomb	Monster	A
livingbombb	Living Bomb	Monster	B
livingbombplus	Living Bomb	Monster	No
livingbombplusa	Living Bomb	Monster	A
magmaprison	Magma Prison	Monster	No
magmaprisona	Magma Prison	Monster	A
magmaprisonb	Magma Prison	Monster	B
magmaprisonm	Magma Prison	Monster	No
magmaprisonma	Magma Prison	Monster	A
magmaprisonmb	Magma Prison	Monster	B
magmasurge	Magma Surge	Monster	No
magmasurgea	Magma Surge	Monster	A
magmasurgeb	Magma Surge	Monster	B
magmasurgeplus	Magma Surge	Monster	No
maliciousfarewell	Malicious Farewell	Monster	No
maliciousfarewella	Malicious Farewell	Monster	A
meteoritem	Meteorite	Monster	No
meteoritema	Meteorite	Monster	A
meteoritemb	Meteorite	Monster	B
meteorshowerm	Meteor Shower	Monster	No
meteorshowerma	Meteor Shower	Monster	A
meteorshowermb	Meteor Shower	Monster	B
overcoat	Overcoat	Monster	No
overcoata	Overcoat	Monster	A
overcoatb	Overcoat	Monster	B
overheat	Overheat	Monster	No
overheata	Overheat	Monster	A
overheatb	Overheat	Monster	B
overwhelm	Overwhelm	Monster	No
overwhelma	Overwhelm	Monster	A
overwhelmb	Overwhelm	Monster	B
petrify	Petrify	Monster	No
petrifya	Petrify	Monster	A
petrifyb	Petrify	Monster	B
predator	Predator	Monster	No
predatora	Predator	Monster	A
predatorb	Predator	Monster	B
protect	Protect	Monster	No
protecta	Protect	Monster	A
protectb	Protect	Monster	B
purgetheweak	Purge the Weak	Monster	No
purgetheweaka	Purge the Weak	Monster	A
purgetheweakb	Purge the Weak	Monster	B
purgingflame	Purging Flame	Monster	No
purgingflamea	Purging Flame	Monster	A
purgingflameb	Purging Flame	Monster	B
pyroblastm	Pyroblast	Monster	No
pyroblastma	Pyroblast	Monster	A
pyroblastmb	Pyroblast	Monster	B
pyroblastmeasy	Pyroblast	Monster	No
pyroblastmeasyy	Pyroblast	Monster	No
ragingblow	Raging Blow	Monster	No
ragingblowa	Raging Blow	Monster	A
ragingblowb	Raging Blow	Monster	B
rapidfirem	Rapid Fire	Monster	No
rapidfirema	Rapid Fire	Monster	A
rapidfiremb	Rapid Fire	Monster	B
reactivelaserm	Reactive Laser	Monster	No
reactivelaserma	Reactive Laser	Monster	A
reactivelasermb	Reactive Laser	Monster	B
reassemble	Reassemble	Monster	No
reassemblea	Reassemble	Monster	A
reassembleb	Reassemble	Monster	B
reassemblem	Reassemble	Monster	No
reassemblema	Reassemble	Monster	A
reassemblemb	Reassemble	Monster	B
relentlessfury	Relentless Fury	Monster	No
repairarmorm	Repair Armor	Monster	No
repairarmorma	Repair Armor	Monster	A
repairarmormb	Repair Armor	Monster	B
shakeitoffm	Shake it off!	Monster	No
shakeitoffma	Shake it off!	Monster	A
shakeitoffmb	Shake it off!	Monster	B
shieldbashm	Shield Bash	Monster	No
shieldbashma	Shield Bash	Monster	A
shieldbashmb	Shield Bash	Monster	B
shieldbreakerm	Shield Breaker	Monster	No
shieldbreakerma	Shield Breaker	Monster	A
shieldbreakermb	Shield Breaker	Monster	B
shieldchargem	Shield Charge	Monster	No
shieldchargema	Shield Charge	Monster	A
shieldchargemb	Shield Charge	Monster	B
shieldsmelter	Shield Smelter	Monster	No
shieldsmeltera	Shield Smelter	Monster	A
shieldsmelterb	Shield Smelter	Monster	B
shieldwallm	Shield Wall	Monster	No
shieldwallma	Shield Wall	Monster	A
shieldwallmb	Shield Wall	Monster	B
sidestep	Sidestep	Monster	No
sidestepa	Sidestep	Monster	A
sidestepb	Sidestep	Monster	B
smokebombm	Smoke Bomb	Monster	No
smokebombma	Smoke Bomb	Monster	A
smokebombmb	Smoke Bomb	Monster	B
snipe	Snipe	Monster	No
snipea	Snipe	Monster	A
snipeb	Snipe	Monster	A
snipeeasy	Snipe	Monster	No
staticcharge	Static Charge	Monster	No
staticchargea	Static Charge	Monster	A
staticchargeb	Static Charge	Monster	B
stomp	Stomp	Monster	No
stompa	Stomp	Monster	A
stompb	Stomp	Monster	B
stonefist	Stone Fist	Monster	No
stonefista	Stone Fist	Monster	A
stonefistb	Stone Fist	Monster	B
stonefisteasy	Stone Fist	Monster	No
stonewall	Stone Wall	Monster	No
stonewalla	Stone Wall	Monster	A
stonewallb	Stone Wall	Monster	B
stonewalleasy	Stone Wall	Monster	No
stonewalleasya	Stone Wall	Monster	A
storm	Storm	Monster	No
storma	Storm	Monster	A
stormb	Storm	Monster	B
stungrenade	Stun Grenade	Monster	No
stungrenadea	Stun Grenade	Monster	A
stungrenadeb	Stun Grenade	Monster	B
subjugation	Subjugation	Monster	No
subjugationa	Subjugation	Monster	A
subjugationb	Subjugation	Monster	B
sunderarmorm	Sunder Armor	Monster	No
sunderarmorma	Sunder Armor	Monster	A
sunderarmormb	Sunder Armor	Monster	B
tauntingroar	Taunting Roar	Monster	No
tauntingroara	Taunting Roar	Monster	A
tauntingroarb	Taunting Roar	Monster	B
thehunt	The Hunt	Monster	No
thehunta	The Hunt	Monster	A
thehuntb	The Hunt	Monster	B
thehunteasy	The Hunt	Monster	No
throwknife	Throw Knife	Monster	No
throwknifea	Throw Knife	Monster	A
throwknifeb	Throw Knife	Monster	B
trebuchet	Trebuchet	Monster	No
trebucheta	Trebuchet	Monster	A
trebuchetb	Trebuchet	Monster	B
violentburst	Violent Burst	Monster	No
violentbursta	Violent Burst	Monster	A
violentburstb	Violent Burst	Monster	B
warcry	Warcry	Monster	No
warcrya	Warcry	Monster	A
warcryb	Warcry	Monster	B
warcrycroc	Warcry	Monster	No
warcrycroca	Warcry	Monster	A
warcrycrocb	Warcry	Monster	B
whirlwindm	Whirlwind	Monster	No
whirlwindma	Whirlwind	Monster	A
whirlwindmb	Whirlwind	Monster	B
wildcharge	Wild Charge	Monster	No
wildchargea	Wild Charge	Monster	A
wildchargeb	Wild Charge	Monster	B
windblessing	Wind Blessing	Monster	No
windblessinga	Wind Blessing	Monster	A
windblessingb	Wind Blessing	Monster	B
abstraction	Abstraction	Monster	No
abstractiona	Abstraction	Monster	A
abstractionb	Abstraction	Monster	B
abyssalrevenge	Abyssal Revenge	Monster	No
abyssalrevengea	Abyssal Revenge	Monster	A
abyssalrevengeb	Abyssal Revenge	Monster	B
abyssalwrath	Abyssal Wrath	Monster	No
abyssalwratha	Abyssal Wrath	Monster	A
abyssalwrathb	Abyssal Wrath	Monster	B
amplifyingfield	Amplifying Field	Monster	No
amplifyingfielda	Amplifying Field	Monster	A
amplifyingfieldb	Amplifying Field	Monster	B
anathema	Anathema	Monster	No
anathemaa	Anathema	Monster	A
anathemab	Anathema	Monster	B
apocalypse	Apocalypse	Monster	No
apotheosis	Apotheosis	Monster	No
apotheosisa	Apotheosis	Monster	A
apotheosisb	Apotheosis	Monster	B
armoredsteel	Armored Steel	Monster	No
armoredsteela	Armored Steel	Monster	A
armoredsteelb	Armored Steel	Monster	B
belphyorsbrand	Belphyor's Brand	Monster	No
belphyorsbranda	Belphyor's Brand	Monster	A
berserkerarmor	Berserker Armor	Monster	No
berserkerarmora	Berserker Armor	Monster	A
blackpyre	Black Pyre	Monster	No
blackpyrea	Black Pyre	Monster	A
blasphemy	Blasphemy	Monster	No
blasphemya	Blasphemy	Monster	A
blasphemyb	Blasphemy	Monster	B
blasphemyeasy	Blasphemy	Monster	No
blasphemyeasya	Blasphemy	Monster	A
blessedsteel	Blessed Steel	Monster	No
blessedsteela	Blessed Steel	Monster	A
blessedsteelb	Blessed Steel	Monster	A
bloodyretaliation	Bloody Retaliation	Monster	No
bloodyretaliationa	Bloody Retaliation	Monster	A
bloodyretaliationb	Bloody Retaliation	Monster	B
bludgeonm	Bludgeon	Monster	No
bludgeonma	Bludgeon	Monster	A
bludgeonmb	Bludgeon	Monster	B
blueflame	Blue Flame	Monster	No
blueflamea	Blue Flame	Monster	A
blueflameb	Blue Flame	Monster	B
brainfreeze	Brain Freeze	Monster	No
brainfreezea	Brain Freeze	Monster	A
brainfreezeb	Brain Freeze	Monster	B
causticbeam	Caustic Beam	Monster	No
causticbeama	Caustic Beam	Monster	A
causticbeamb	Caustic Beam	Monster	B
celestialtoll	Celestial Toll	Monster	No
celestialtolla	Celestial Toll	Monster	A
celestialtollb	Celestial Toll	Monster	B
celestialwrath	Celestial Wrath	Monster	No
celestialwratha	Celestial Wrath	Monster	A
celestialwrathb	Celestial Wrath	Monster	B
coldlaser	Cold Laser	Monster	No
coldlasera	Cold Laser	Monster	A
coldlaserb	Cold Laser	Monster	B
condemnationm	Condemnation	Monster	No
condemnationma	Condemnation	Monster	A
condemnationmb	Condemnation	Monster	B
consecration	Consecration	Monster	No
consecrationa	Consecration	Monster	A
consecrationb	Consecration	Monster	B
consume	Consume	Monster	No
consumea	Consume	Monster	A
consumeb	Consume	Monster	B
corruption	Corruption	Monster	No
corruptiona	Corruption	Monster	A
corruptionb	Corruption	Monster	B
crucifixion	Crucifixion	Monster	No
crucifixiona	Crucifixion	Monster	A
crucifixionb	Crucifixion	Monster	B
crushingdarkness	Crushing Darkness	Monster	No
crushingdarknessa	Crushing Darkness	Monster	A
crushingdarknessb	Crushing Darkness	Monster	B
dampingfield	Damping Field	Monster	No
dampingfielda	Damping Field	Monster	A
dampingfieldb	Damping Field	Monster	B
darkconstraint	Dark Constraint	Monster	No
darkconstrainta	Dark Constraint	Monster	A
darkconstraintb	Dark Constraint	Monster	B
darkcremation	Dark Cremation	Monster	No
darkcremationa	Dark Cremation	Monster	A
darkcremationb	Dark Cremation	Monster	B
darkembrace	Dark Embrace	Monster	No
darkembracea	Dark Embrace	Monster	A
darkfury	Dark Fury	Monster	No
darkguard	Dark Guard	Monster	No
darkguarda	Dark Guard	Monster	A
darkguardb	Dark Guard	Monster	B
darklightning	Dark Lightning	Monster	No
darklightninga	Dark Lightning	Monster	A
darklightningb	Dark Lightning	Monster	B
darklightningeasy	Dark Lightning	Monster	No
darklightningeasya	Dark Lightning	Monster	A
darkrancor	Dark Rancor	Monster	No
darkrancora	Dark Rancor	Monster	A
darkrancorb	Dark Rancor	Monster	B
darkshot	Dark Shot	Monster	No
darkshota	Dark Shot	Monster	A
darkshotb	Dark Shot	Monster	B
dawnpunishment	Dawn Punishment	Monster	No
dawnpunishmenta	Dawn Punishment	Monster	A
dawnpunishmentb	Dawn Punishment	Monster	B
deadlychime	Deadly Chime	Monster	No
deadlychimea	Deadly Chime	Monster	A
deadlychimeb	Deadly Chime	Monster	B
deathstoll	Death's Toll	Monster	No
deathstolla	Death's Toll	Monster	A
deathstollb	Death's Toll	Monster	B
deathstolleasy	Death's Toll	Monster	No
deathstolleasya	Death's Toll	Monster	A
deathstolleasyb	Death's Toll	Monster	B
deathstollm	Death's Toll	Monster	No
deathstollma	Death's Toll	Monster	A
deathstollmb	Death's Toll	Monster	B
deepdarknessm	Deep Darkness	Monster	No
deepdarknessma	Deep Darkness	Monster	A
deepdarknessmb	Deep Darkness	Monster	B
dementia	Dementia	Monster	No
dementiaa	Dementia	Monster	A
dementiab	Dementia	Monster	B
dementiam	Dementia	Monster	No
dementiama	Dementia	Monster	A
dementiamb	Dementia	Monster	B
desecration	Desecration	Monster	No
desecrationa	Desecration	Monster	A
desecrationb	Desecration	Monster	B
despair	Despair	Monster	No
despaira	Despair	Monster	A
despairb	Despair	Monster	B
devastatem	Devastate	Monster	No
devastatema	Devastate	Monster	A
devastatemb	Devastate	Monster	B
devastatemm	Devastate	Monster	No
devastatemma	Devastate	Monster	A
devastatemmb	Devastate	Monster	B
disintegratem	Disintegrate	Monster	No
disintegratema	Disintegrate	Monster	A
disintegratemb	Disintegrate	Monster	B
divinechime	Divine Chime	Monster	No
divinechimea	Divine Chime	Monster	A
divinechimeb	Divine Chime	Monster	B
divineintervention	Divine Intervention	Monster	No
divineinterventiona	Divine Intervention	Monster	A
divineprotection	Divine Protection	Monster	No
divineprotectiona	Divine Protection	Monster	A
divineprotectionb	Divine Protection	Monster	B
divinepunishment	Divine Punishment	Monster	No
divinepunishmenta	Divine Punishment	Monster	A
divinepunishmentb	Divine Punishment	Monster	B
divineretributionm	Divine Retribution	Monster	No
divineretributionma	Divine Retribution	Monster	A
divineretributionmb	Divine Retribution	Monster	B
doomsday	Doomsday	Monster	No
doomsdaya	Doomsday	Monster	A
doomsdayb	Doomsday	Monster	B
duskpunishment	Dusk Punishment	Monster	No
duskpunishmenta	Dusk Punishment	Monster	A
duskpunishmentb	Dusk Punishment	Monster	B
enfeeble	Enfeeble	Monster	No
enfeeblea	Enfeeble	Monster	A
enfeebleb	Enfeeble	Monster	B
entrenchm	Entrench	Monster	No
entrenchma	Entrench	Monster	A
entrenchmb	Entrench	Monster	B
ethereal	Ethereal	Monster	No
ethereala	Ethereal	Monster	A
etherealb	Ethereal	Monster	B
evasivemaneuver	Evasive Maneuver	Monster	No
evasivemaneuvera	Evasive Maneuver	Monster	A
evasivemaneuverb	Evasive Maneuver	Monster	B
fallenpromise	Fallen Promise	Monster	No
fallenpromisea	Fallen Promise	Monster	A
fallenpromiseb	Fallen Promise	Monster	B
firelaser	Fire Laser	Monster	No
firelasera	Fire Laser	Monster	A
firelaserb	Fire Laser	Monster	B
gloomyburst	Gloomy Burst	Monster	No
gloomybursta	Gloomy Burst	Monster	A
gloomyburstb	Gloomy Burst	Monster	B
godlystrength	Godly Strength	Monster	No
godlystrengtha	Godly Strength	Monster	A
godlystrengthb	Godly Strength	Monster	B
grandcross	Grand Cross	Monster	No
grandcrossa	Grand Cross	Monster	A
grandcrossb	Grand Cross	Monster	B
grandcrossm	Grand Cross	Monster	No
grandcrossma	Grand Cross	Monster	A
grandcrossmb	Grand Cross	Monster	B
gravitywell	Gravity Well	Monster	No
gravitywella	Gravity Well	Monster	A
gravitywellb	Gravity Well	Monster	B
gravitywelleasy	Gravity Well	Monster	No
grouptherapy	Group Therapy	Monster	No
grouptherapya	Group Therapy	Monster	A
grouptherapyb	Group Therapy	Monster	B
headbuttmm	Headbutt	Monster	No
headbuttmma	Headbutt	Monster	A
headbuttmmb	Headbutt	Monster	B
heavyartillery	Heavy Artillery	Monster	No
heavyartillerya	Heavy Artillery	Monster	A
heavyartilleryb	Heavy Artillery	Monster	B
hellfire	Hellfire	Monster	No
hellfirea	Hellfire	Monster	A
hellfireb	Hellfire	Monster	B
heraldofdawn	Herald of Dawn	Monster	No
heraldofdawna	Herald of Dawn	Monster	A
heraldofdawnb	Herald of Dawn	Monster	B
heraldofdusk	Herald of Dusk	Monster	No
heraldofduska	Herald of Dusk	Monster	A
heraldofduskb	Herald of Dusk	Monster	B
heresy	Heresy	Monster	No
heresya	Heresy	Monster	A
heresyb	Heresy	Monster	B
hideandseek	Hide and Seek	Monster	No
hideandseeka	Hide and Seek	Monster	A
hideandseekb	Hide and Seek	Monster	B
holybarrage	Holy Barrage	Monster	No
holybarragea	Holy Barrage	Monster	A
holybarrageb	Holy Barrage	Monster	B
holycleave	Holy Cleave	Monster	No
holycleavea	Holy Cleave	Monster	A
holycleaveb	Holy Cleave	Monster	B
holylance	Holy Lance	Monster	No
holylancea	Holy Lance	Monster	A
holylanceb	Holy Lance	Monster	B
holylanceeasy	Holy Lance	Monster	No
holylanceeasya	Holy Lance	Monster	A
holyslash	Holy Slash	Monster	No
holyslasha	Holy Slash	Monster	A
holyslashb	Holy Slash	Monster	B
holysmitem	Holy Smite	Monster	No
holysmitema	Holy Smite	Monster	A
holysmitemb	Holy Smite	Monster	B
holystormm	Holy Storm	Monster	No
holystormma	Holy Storm	Monster	A
holystormmb	Holy Storm	Monster	B
inferno	Inferno	Monster	No
infernoa	Inferno	Monster	A
infernob	Inferno	Monster	B
infernom	Inferno	Monster	No
invisibilitym	Perfect Invisibility	Monster	No
invisibilityma	Perfect Invisibility	Monster	A
invisibilitymb	Perfect Invisibility	Monster	B
ivorytower	Ivory Tower	Monster	No
ivorytowera	Ivory Tower	Monster	A
ivorytowerb	Ivory Tower	Monster	B
killpet	Kill Pet	Monster	No
knightspride	Knight's Pride	Monster	No
knightspridea	Knight's Pride	Monster	A
knightsprideb	Knight's Pride	Monster	B
lavabomb	Lava Bomb	Monster	No
lavabombm	Lava Bomb	Monster	No
lawofdarkness	Law of Darkness	Monster	No
lawofdarknessa	Law of Darkness	Monster	A
lawofdarknessb	Law of Darkness	Monster	B
lawoflight	Law of Light	Monster	No
lawoflighta	Law of Light	Monster	A
lawoflightb	Law of Light	Monster	B
layonhands	Lay on Hands	Monster	No
layonhandsa	Lay on Hands	Monster	A
layonhandsb	Lay on Hands	Monster	B
lethargy	Lethargy	Monster	No
lethargya	Lethargy	Monster	A
lethargyb	Lethargy	Monster	B
lifetotem	Life Totem	Monster	No
lifetotema	Life Totem	Monster	A
lifetotemb	Life Totem	Monster	B
luminousbarrier	Luminous Barrier	Monster	No
luminousbarriera	Luminous Barrier	Monster	A
luminousbarrierb	Luminous Barrier	Monster	B
luminousbeam	Luminous Beam	Monster	No
luminousbeama	Luminous Beam	Monster	A
luminousbeamb	Luminous Beam	Monster	B
lunargrace	Lunar Grace	Monster	No
lunargracea	Lunar Grace	Monster	A
lunargraceb	Lunar Grace	Monster	B
martyrdom	Martyrdom	Special	No
martyrdoma	Martyrdom	Special	A
martyrdomb	Martyrdom	Special	B
